id,name,image,text,cooking_time,pub_date,author_id
1,Фокачча,recipes/sm_14418.jpg,"Это рецепт настоящей итальянской фокаччи. Эта лепешка готовится из муки, воды, сахара, дрожжей и оливкового масла.",60,2025-04-13 00:39:22+07,2
2,Блинчики с припеком,recipes/UaQ2Bv.webp,"Припек в блинах — это небольшие кусочки начинки, которые добавили в тесто. В качестве добавки пригодятся любые ингредиенты, какие найдутся в холодильнике: хоть соленые, хоть сладкие. Сначала замешайте обычное блинное тесто. А пока оно отдыхает, приготовьте начинку. Затем вылейте тесто на сковороду, добавьте нарезку сверху и чуть прижмите лопаткой. Кусочки слегка «припекутся», а блинчики станут сытнее.",40,2025-04-13 00:42:20+07,2
3,Оладьи с бананом на кефире,recipes/3Qpuwd.webp,"Оладьи с бананом на кефире отличаются воздушной текстурой и легким фруктовым ароматом. Для приготовления возьмите спелый мягкий банан с потемневшей кожурой. Такие фрукты самые сладкие. Добавьте куриное яйцо, муку и теплый кефир и замешайте достаточно густое тесто без комочков. Пожарьте оладьи и подайте горячими со сметаной, сгущенкой, медом или йогуртом. Это блюдо отлично подходит для завтрака, а также легкого перекуса или десерта.",40,2025-04-13 00:44:10+07,2
4,Индейка в соевом соусе в духовке,recipes/zBwKS6.webp,"Индейка содержит минимум жира, поэтому идеально подходит для диетического и детского меню. Однако при запекании она часто становится сухой. Чтобы сохранить сочность, замаринуйте мясо в соевом соусе. Он усилит вкус приправ и сделает индейку нежнее благодаря ферментам, которые не разрушают структуру мяса. Если добавить в маринад немного сахара, кусочки при запекании покроются красивой глянцевой глазурью.",80,2025-04-13 00:45:00+07,6
5,Щи с зеленым горошком,recipes/n2Moyz.webp,"Зеленый горошек добавляет любому блюду едва заметную сладковатую нотку. Она становится отличным финальным аккордом как для салатов, так и для основных блюд или супов. Мы положили его в свежие щи. В данном случае это консервированный горошек. Но можно взять и замороженный, только в этом случае готовить его нужно чуть дольше, поэтому добавляйте горох в суп вместе с капустой.",50,2025-04-13 00:45:48+07,6
6,"Салат с помидорами, шпинатом и яйцами",recipes/3W3pKt.webp,"Легкий салат, который можно подать как закуску на обед или в качестве легкого ужина. Шпинат, помидоры и яйца помогут справиться с голодом без угрозы фигуре. Шпинат лучше взять свежий. Его не нужно бланшировать, достаточно просто выложить на тарелку. Дополните его четвертинками яиц и половинками черри. Заправьте смесью бальзамического уксуса с растительным маслом, сахаром и солью.",30,2025-04-13 00:46:17+07,6
7,Постный суп из замороженных грибов,recipes/pDmoYf.webp,"Замороженные грибы всегда выручат, если нужно быстро приготовить сытный суп. В нем нет продуктов животного происхождения, он подойдет и постящимся, и вегетарианцам. Суп получится вкуснее и ароматнее, если размороженные грибы обжарить перед тем, как класть в бульон. Чтобы сделать овощной бульон ароматнее, готовьте его с корнем петрушки.",70,2025-04-13 00:46:59+07,7
8,Постные каннеллони,recipes/anCVzs.webp,"Запеченные каннеллони в постном варианте получатся не менее сытными и вкусными, чем традиционные. Возьмите в качестве начинки обжаренные с луком и чесноком шампиньоны, смешайте их с сыром тофу. А для соуса измельчите и немного проварите кешью. Легкий молочный привкус орехов можно еще больше усилить и придать им сливочно-сырные нотки с помощью пищевых дрожжей. Кешью лучше замочить заранее, так они легче измельчатся.",30,2025-04-13 00:47:30+07,7
9,Каннеллони с фаршем в духовке,recipes/3jo2DQ.webp,"Это универсальный рецепт, ведь все ингредиенты в нем можно выбрать на свой вкус. Например, вместо свиного фарша возьмите говяжий, куриный или смешанный. Добавьте больше овощей, специй и зелени. А еще пробуйте разные сорта сыров и варианты заливки. Можно взять классический соус бешамель, приготовить острую заливку из томатной пасты или взять обычный бульон.",30,2025-04-13 00:48:03+07,7
10,Голубцы в сметанно-томатном соусе,recipes/3Jpo8S.webp,"Попробуйте не тушить голубцы, а запечь их в духовке. Соус из сметаны, томатной пасты, чеснока и укропа хорошо пропитает и размягчит капусту, а мясная начинка с рисом и зажаркой из лука и моркови распарится и обменяется вкусами с заливкой. В этом варианте заготовки предварительно не обжаривают, но при желании можно это сделать перед тем, как уложить голубцы в форму для запекания. Вместо воды в соус можно добавить любой бульон.",50,2025-04-13 00:48:44+07,7
